Date,Time_Hour,bike_stands,Available_Bikes,Available_Bike_Stands,Avail_Bike_Changes,Avail_Bikes_Decrease,Avail_Bikes_Increase,Avail_Bike_Stand_Changes,Avail_Stands_Decrease,Avail_Stands_Increase,address,banking,Elevation,Latitude,Longitude,number,Availability,Date_Time,rain,temp,wetb,dewpt,vappr,rhum,msl,Total_Activity,Weight,Total_System_Bikes,DayofWeek,DayWeek_proc,Avg_Avail_Bikes,Avg_Avail_Bike_Change,old_index,demand,newindex,cluster
2019-02-11,1960-01-01 05:00:00,20,5,15,-1,1,0,1,0,1,Blessington Street,1,19,53.356769,-6.26814,2,0.25,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,1,3.11,1316,2,Mon,5,-2,44944,0,2,0
2019-02-11,1960-01-01 05:00:00,20,14,6,-1,1,0,1,0,1,Bolton Street,0,12,53.351182,-6.269859,3,0.7,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,1,3.93,1316,2,Mon,8,-1,496222,6,3,0
2019-02-11,1960-01-01 05:00:00,20,19,1,-1,1,0,1,0,1,Greek Street,0,8,53.346874,-6.272976,4,0.95,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,1,2.97,1316,2,Mon,12,-1,428893,7,4,0
2019-02-11,1960-01-01 05:00:00,40,9,31,18,2,20,-18,20,2,Charlemont Street,0,25,53.330662,-6.260177,5,0.225,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,22,9.66,1316,2,Mon,24,3,289853,-15,5,0
2019-02-11,1960-01-01 05:00:00,20,13,7,-1,2,1,1,1,2,Christchurch Place,0,20,53.343368,-6.27012,6,0.65,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,3,3.3,1316,2,Mon,7,-1,361615,6,6,0
2019-02-11,1960-01-01 05:00:00,29,15,14,0,0,0,0,0,0,High Street,1,15,53.343565,-6.275071,7,0.5172413793,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,0,2.95,1316,2,Mon,10,1,324390,5,7,0
2019-02-11,1960-01-01 05:00:00,30,25,5,1,0,1,-1,1,0,Custom House Quay,0,6,53.347884,-6.248048,8,0.8333333333,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,1,6.2,1316,2,Mon,12,3,138913,13,8,0
2019-02-11,1960-01-01 05:00:00,24,0,24,2,0,2,-2,2,0,Exchequer Street,0,10,53.343034,-6.263578,9,0,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,2,7.33,1316,2,Mon,6,4,230721,-6,9,0
2019-02-11,1960-01-01 05:00:00,16,13,3,1,0,1,-1,1,0,Dame Street,1,17,53.344007,-6.266802,10,0.8125,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,1,4.34,1316,2,Mon,8,1,299898,5,10,0
2019-02-11,1960-01-01 05:00:00,30,1,29,2,0,2,-2,2,0,Earlsfort Terrace,0,17,53.334019,-6.258371,11,0.0333333333,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,2,3.67,1316,2,Mon,4,1,85905,-3,11,0
2019-02-11,1960-01-01 05:00:00,20,3,17,-3,4,1,3,1,4,Eccles Street,0,24,53.359246,-6.269779,12,0.15,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,5,2.84,1316,2,Mon,7,-3,469825,-4,12,0
2019-02-11,1960-01-01 05:00:00,40,12,28,0,0,0,0,0,0,Merrion Square South,1,16,53.338614,-6.248606,113,0.3,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,0,2.97,1316,2,Mon,8,1,418345,4,113,0
2019-02-11,1960-01-01 05:00:00,30,13,17,0,0,0,0,0,0,Fitzwilliam Square West,0,20,53.336074,-6.252825,13,0.4333333333,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,0,3.01,1316,2,Mon,8,1,492346,5,13,0
2019-02-11,1960-01-01 05:00:00,30,8,22,7,0,7,-7,7,0,Fownes Street Upper,0,15,53.344603,-6.263371,14,0.2666666667,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,7,7.18,1316,2,Mon,11,5,66801,-3,14,0
2019-02-11,1960-01-01 05:00:00,16,10,6,-1,1,0,1,0,1,Hardwicke Street,0,19,53.355473,-6.264423,15,0.625,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,1,2.33,1316,2,Mon,4,-2,231895,6,15,0
2019-02-11,1960-01-01 05:00:00,20,13,7,-2,2,0,2,0,2,Georges Quay,0,6,53.347508,-6.252192,16,0.65,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,2,3.28,1316,2,Mon,7,0,385389,6,16,0
2019-02-11,1960-01-01 05:00:00,20,12,8,0,0,0,0,0,0,Golden Lane,0,16,53.340803,-6.267732,17,0.6,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,0,2.61,1316,2,Mon,13,-1,460893,-1,17,0
2019-02-11,1960-01-01 05:00:00,30,29,1,0,0,0,0,0,0,Grantham Street,1,17,53.334123,-6.265436,18,0.9666666667,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,0,5.73,1316,2,Mon,22,0,400224,7,18,0
2019-02-11,1960-01-01 05:00:00,30,9,21,-4,7,3,4,3,7,Herbert Place,0,16,53.334432,-6.245575,19,0.3,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,10,7.95,1316,2,Mon,9,4,369872,0,19,0
2019-02-11,1960-01-01 05:00:00,30,13,17,1,0,1,-1,1,0,Leinster Street South,0,6,53.34218,-6.254485,21,0.4333333333,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,1,5.12,1316,2,Mon,11,2,397475,2,21,0
2019-02-11,1960-01-01 05:00:00,20,5,15,2,0,2,-2,2,0,Townsend Street,0,10,53.345922,-6.254614,22,0.25,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,2,4.74,1316,2,Mon,6,1,378658,-1,22,0
2019-02-11,1960-01-01 05:00:00,30,10,20,2,0,2,-2,2,0,Custom House,1,11,53.348279,-6.254662,23,0.3333333333,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,2,5.71,1316,2,Mon,10,2,200697,0,23,0
2019-02-11,1960-01-01 05:00:00,20,0,20,2,0,2,-2,2,0,Cathal Brugha Street,0,13,53.352149,-6.260533,24,0,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,2,5.46,1316,2,Mon,7,0,508802,-7,24,0
2019-02-11,1960-01-01 05:00:00,40,13,27,-6,8,2,6,2,8,Wilton Terrace (Park),1,18,53.333653,-6.248345,114,0.325,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,10,5.18,1316,2,Mon,9,1,467360,4,114,0
2019-02-11,1960-01-01 05:00:00,30,10,20,1,0,1,-1,1,0,Merrion Square East,0,12,53.339434,-6.246548,25,0.3333333333,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,1,3.45,1316,2,Mon,5,3,453141,5,25,0
2019-02-11,1960-01-01 05:00:00,20,14,6,1,0,1,-1,1,0,Merrion Square West,1,11,53.339764,-6.251988,26,0.7,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,1,3.61,1316,2,Mon,11,1,161249,3,26,0
2019-02-11,1960-01-01 05:00:00,20,13,7,0,1,1,0,1,1,Molesworth Street,0,18,53.341288,-6.258117,27,0.65,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,2,4,1316,2,Mon,4,4,560945,9,27,0
2019-02-11,1960-01-01 05:00:00,30,9,21,-2,2,0,2,0,2,Mountjoy Square West,0,18,53.356299,-6.258586,28,0.3,2019-02-11 05:00:00,0,3.9,3.5,2.8,7.5,92,1020.4,2,5.77,1316,2,Mon,14,-2,507230,-5,28,0
