Date,Time_Hour,bike_stands,Available_Bikes,Available_Bike_Stands,Avail_Bike_Changes,Avail_Bikes_Decrease,Avail_Bikes_Increase,Avail_Bike_Stand_Changes,Avail_Stands_Decrease,Avail_Stands_Increase,address,banking,Elevation,Latitude,Longitude,number,Availability,Date_Time,rain,temp,wetb,dewpt,vappr,rhum,msl,Total_Activity,Weight,Total_System_Bikes,DayofWeek,DayWeek_proc,Avg_Avail_Bikes,Avg_Avail_Bike_Change,old_index,demand,newindex,cluster
2019-03-20,1960-01-01 17:00:00,30,17,13,13,0,13,-13,13,0,Leinster Street South,0,6,53.34218,-6.254485,21,0.5666666667,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,13,5.12,1017,4,Wed,19,-2,486066,-2,21,0
2019-03-20,1960-01-01 17:00:00,20,2,18,12,0,12,-12,12,0,Townsend Street,0,10,53.345922,-6.254614,22,0.1,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,12,4.74,1017,4,Wed,15,2,502203,-13,22,0
2019-03-20,1960-01-01 17:00:00,30,22,8,8,1,9,-8,9,1,Custom House,1,11,53.348279,-6.254662,23,0.7333333333,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,10,5.71,1017,4,Wed,26,-1,425864,-4,23,0
2019-03-20,1960-01-01 17:00:00,20,5,15,-1,7,6,1,6,7,Cathal Brugha Street,0,13,53.352149,-6.260533,24,0.25,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,13,5.46,1017,4,Wed,11,2,299936,-6,24,0
2019-03-20,1960-01-01 17:00:00,40,0,40,0,0,0,0,0,0,Wilton Terrace (Park),1,18,53.333653,-6.248345,114,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,0,5.18,1017,4,Wed,1,0,426435,-1,114,0
2019-03-20,1960-01-01 17:00:00,30,2,28,-1,3,2,1,2,3,Merrion Square East,0,12,53.339434,-6.246548,25,0.0666666667,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,5,3.45,1017,4,Wed,6,-4,467916,-4,25,0
2019-03-20,1960-01-01 17:00:00,20,20,0,0,4,4,0,4,4,Merrion Square West,1,11,53.339764,-6.251988,26,1,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,8,3.61,1017,4,Wed,15,-4,450768,5,26,0
2019-03-20,1960-01-01 17:00:00,20,9,11,-7,9,2,7,2,9,Molesworth Street,0,18,53.341288,-6.258117,27,0.45,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,11,4,1017,4,Wed,5,-3,209322,4,27,0
2019-03-20,1960-01-01 17:00:00,30,0,30,6,0,6,-6,6,0,Mountjoy Square West,0,18,53.356299,-6.258586,28,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,6,5.77,1017,4,Wed,3,3,83131,-3,28,0
2019-03-20,1960-01-01 17:00:00,29,0,29,1,8,9,-1,9,8,Ormond Quay Upper,1,8,53.346057,-6.268001,29,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,17,5.04,1017,4,Wed,7,0,115987,-7,29,0
2019-03-20,1960-01-01 17:00:00,20,0,20,0,1,1,0,1,1,Parnell Square North,1,15,53.353462,-6.265305,30,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,2,2.2,1017,4,Wed,2,0,366937,-2,30,0
2019-03-20,1960-01-01 17:00:00,20,0,20,6,5,11,-6,11,5,Parnell Street,0,11,53.350929,-6.265125,31,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,16,5.72,1017,4,Wed,6,-1,139882,-6,31,0
2019-03-20,1960-01-01 17:00:00,30,22,8,7,1,8,-7,8,1,Pearse Street,1,8,53.344304,-6.250427,32,0.7333333333,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,9,6.55,1017,4,Wed,23,0,476088,-1,32,0
2019-03-20,1960-01-01 17:00:00,23,9,14,7,3,10,-7,10,3,Princes Street / O'Connell Street,1,13,53.349013,-6.260311,33,0.3913043478,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,13,7.02,1017,4,Wed,18,0,394294,-9,33,0
2019-03-20,1960-01-01 17:00:00,30,27,3,3,13,16,-3,16,13,Portobello Harbour,0,24,53.330362,-6.265163,34,0.9,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,29,8.95,1017,4,Wed,17,4,140685,10,34,0
2019-03-20,1960-01-01 17:00:00,30,0,30,7,2,9,-7,9,2,Smithfield,0,9,53.347692,-6.278214,35,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,11,4.83,1017,4,Wed,3,3,542172,-3,35,0
2019-03-20,1960-01-01 17:00:00,30,8,22,8,1,9,-8,9,1,Killarney Street,0,5,53.354845,-6.247579,115,0.2666666667,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,10,4.84,1017,4,Wed,13,7,481832,-5,115,0
2019-03-20,1960-01-01 17:00:00,40,19,20,-19,19,0,20,0,20,St. Stephen's Green East,1,16,53.337824,-6.256035,36,0.475,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,19,4.91,1017,4,Wed,11,-8,192530,8,36,0
2019-03-20,1960-01-01 17:00:00,30,0,30,0,1,1,0,1,1,St. Stephen's Green South,1,17,53.337494,-6.26199,37,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,2,2.97,1017,4,Wed,3,0,28866,-3,37,0
2019-03-20,1960-01-01 17:00:00,40,17,23,-2,6,4,2,4,6,Talbot Street,0,7,53.350974,-6.25294,38,0.425,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,10,6.48,1017,4,Wed,23,0,114942,-6,38,0
